Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM5632111v1	GCA_056321115.1		Homo sapiens					IMR-90	female		Chromosome	2026-03-25	JBVVOG01	23
ASM5632114v1	GCA_056321145.1		Homo sapiens					BJ	male		Chromosome	2026-03-25	JBVVOH01	23
ASM5632110v1	GCA_056321105.1		Homo sapiens					IMR-90	female		Chromosome	2026-03-25	JBVVOF01	23
ASM5632137v1	GCA_056321375.1		Homo sapiens					BJ	male		Chromosome	2026-03-25	JBVVOI01	23
IBAB_KIn_1.2	GCA_056632735.1		Homo sapiens					IBAB_KGP_30	female		Chromosome	2026-04-08	JBWQXG01	23
SAU_Npig_1.0	GCA_056361715.1		Sus scrofa	Neijiang pig					female		Chromosome	2026-03-25	JBTULV01	19
NSME_pig_1.2	GCA_006511355.2		Sus scrofa scrofa	NS					male		Chromosome	2021-04-09		20
Guyuan_Btau_1.0	GCA_051106085.1		Bos taurus	Guyuan cattle				GY063	male		Chromosome	2025-06-26	JBKSDG01	30
ASM1204487v1	GCA_012044875.1		Canis lupus familiaris	Labrador retriever					male		Chromosome	2020-04-06		39
ASM1204501v1	GCA_012045015.1		Canis lupus familiaris	Labrador retriever					male		Chromosome	2020-04-06		39
T2T-sheep1.0M	GCA_041121725.1		Ovis aries	Hu sheep				HU3095-Mother	female	Annotation submitted by China Agricultural University	Chromosome	2024-07-24		27
T2T-goat2.0M	GCA_040970035.1		Capra hircus	Inner Mongolia cashmere goat					male		Chromosome	2024-07-31		30
T2T-goat1.0M	GCA_041736475.1		Capra hircus	Inner Mongolia cashmere goat					male	Annotation submitted by China Agricultural University	Chromosome	2024-09-04		30
ASM4082201v1	GCA_040822015.1		Capra hircus	Inner Mongolia Cashmere goat				AEBS_806099	male		Chromosome	2024-07-23		31
wOryCun.alg1	GCA_982769885.1		Oryctolagus cuniculus								Chromosome	2026-05-15		22
calJac220_pri	GCA_049354665.1		Callithrix jacchus					220	female		Chromosome	2025-04-08	JBLWJD01	23
calJac220_alt	GCA_049354675.1		Callithrix jacchus					220	female		Chromosome	2025-04-08	JBLWJC01	23
ASM5663261v2	GCA_056632615.2		Equus asinus	taihang				SSD	male		Chromosome	2026-04-08	JBUQDP01	32
HU_Pman_SW_mat_3.1	GCA_049852335.1		Peromyscus maniculatus rubidus					BKxSW_F1_SW_parent	female		Chromosome	2025-04-22	JBMNXQ01	24
HU_Pman_BK_pat_3.1	GCA_049852355.1		Peromyscus maniculatus gambelii					BKxSW_F1_BK_parent	male		Chromosome	2025-04-22	JBMNXP01	24
ASM4859333v1	GCA_048593335.1		Notamacropus eugenii					Barry	male		Chromosome	2025-03-17	JBMDLQ01	8
ASM4859322v1	GCA_048593225.1		Sarcophilus harrisii					McLovin	male	GCA_048593225.1-GB_2025_09_01	Chromosome	2025-03-17	JBMDLT01	7
ASM296843v1	GCA_002968435.1		Bos mutus					yakQH1	female		Chromosome	2018-03-05		30
C.can genome v2.0	GCA_001984765.2		Castor canadensis					Ward	male		Chromosome	2026-01-29	MTKA02	21
ASM4859329v1	GCA_048593295.1		Sminthopsis crassicaudata					SCR6	female		Chromosome	2025-03-17	JBMDMD01	7
CAU_F1_paternal_1.0	GCA_023701655.1		Ovis ammon polii x Ovis aries					F1 hybrid	male	Annotation submitted by China Agricultural University	Chromosome	2022-06-10	JALAIX01	28
T2T-mGirTip1v1.2.alt	GCA_054371575.1		Giraffa tippelskirchi					mGirTip1	male		Chromosome	2026-01-06	JBRKMD01	14
T2T-mGirTip1v1.2.mat	GCA_054371825.1		Giraffa tippelskirchi					mGirTip1	male		Chromosome	2026-01-06	JBRKMA01	15
LTU_DasViv_v2.0_hap2	GCA_051122245.1		Dasyurus viverrinus					TARZ-13805.1	female		Chromosome	2025-06-27	JBNQXN01	7
LTU_DasViv_v2.0_hap1	GCA_051122235.1		Dasyurus viverrinus					TARZ-13805.1	female		Chromosome	2025-06-27	JBNQXM01	7
ASM4859328v1	GCA_048593285.1		Dasyurus maculatus					Chaos	male	GCA_048593285.1-GB_2025_09_17	Chromosome	2025-03-17	JBMDMC01	6
HG02040_haplotype2_hprc_rel2_verkko2_supp	GCA_056751295.1		Homo sapiens					HG02040	male		Chromosome	2026-04-16	JBVUMR01	57
HG01891_haplotype1_hprc_rel2_verkko2_supp	GCA_056698125.1		Homo sapiens					HG01891	female		Chromosome	2026-04-13	JBVUDO01	26
HG00235_haplotype1_hprc_rel2_verkko2_supp	GCA_056669185.1		Homo sapiens					HG00235	female		Chromosome	2026-04-10	JBVTYR01	55
HG03470_haplotype2_hprc_rel2_verkko2_supp	GCA_056750115.1		Homo sapiens					HG03470	female		Chromosome	2026-04-16	JBVUMJ01	40
HG01890_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057056705.1		Homo sapiens					HG01890	male		Chromosome	2026-04-29	JBWQHC01	70
HG03371_hap2	GCA_056690335.1		Homo sapiens					HG03371	male		Chromosome	2026-04-13	DBNCQE01	37
HG03369_haplotype2_hprc_rel2_verkko2_supp	GCA_056717455.1		Homo sapiens					HG03369	female		Chromosome	2026-04-14	JBVUGV01	29
HG02559_haplotype2_hprc_rel2_verkko2_supp	GCA_056716475.1		Homo sapiens					HG02559	female		Chromosome	2026-04-14	JBVUEX01	50
NA19036_haplotype2_hprc_rel2_verkko2_supp	GCA_056739675.1		Homo sapiens					NA19036	female		Chromosome	2026-04-15	JBVUJT01	31
NA19043_haplotype2_hprc_rel2_verkko2_supp	GCA_056739645.1		Homo sapiens					NA19043	male		Chromosome	2026-04-15	JBVUJR01	38
HG03516_haplotype1_hprc_rel2_verkko2_supp	GCA_056750055.1		Homo sapiens					HG03516	female		Chromosome	2026-04-16	JBVUMG01	31
NA19705_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057055885.1		Homo sapiens					NA19705	male		Chromosome	2026-04-29	JBWQFO01	27
NA18508_haplotype1_hprc_rel2_verkko2_supp	GCA_056739315.1		Homo sapiens					NA18508	female		Chromosome	2026-04-15	JBVUJC01	32
HG03225_haplotype2_hprc_rel2_verkko2_supp	GCA_056717115.1		Homo sapiens					HG03225	male		Chromosome	2026-04-14	JBVUGF01	30
Ash1_v2.2	GCA_011064465.2		Homo sapiens					NA24385	male	Annotation submitted by Johns Hopkins University	Chromosome	2022-06-02	JAAKGM02	65
hg01243.v3.0	GCA_018873775.2		Homo sapiens					HG01243	male	Annotation submitted by Johns Hopkins University	Chromosome	2021-09-27	JAHLSK02	88
Han1	GCA_024586135.1		Homo sapiens					HG00621	male		Chromosome	2022-08-09	JANJEX01	34
HG02984_haplotype1_hprc_rel2_verkko2_supp	GCA_056716995.1		Homo sapiens					HG02984	male		Chromosome	2026-04-14	JBVUFY01	35
HG01167_hap1_hprc_f2	GCA_044167135.1		Homo sapiens					HG01167	male		Chromosome	2024-10-31	JBIREP01	97
HG03195_haplotype1_hprc_rel2_verkko2_supp	GCA_056717135.1		Homo sapiens					HG03195	female		Chromosome	2026-04-14	JBVUGG01	44
NA19317_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057056105.1		Homo sapiens					NA19317	male		Chromosome	2026-04-29	JBWQFY01	37
HG02965_haplotype2_hprc_rel2_verkko2_supp	GCA_056750905.1		Homo sapiens					HG02965	male		Chromosome	2026-04-16	JBVUNJ01	33
HG00096_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057056985.1		Homo sapiens					HG00096	male		Chromosome	2026-04-29	JBWQHQ01	27
HG03516_haplotype2_hprc_rel2_verkko2_supp	GCA_056750085.1		Homo sapiens					HG03516	female		Chromosome	2026-04-16	JBVUMH01	70
HG02129_haplotype1_hprc_rel2_verkko2_supp	GCA_056695745.1		Homo sapiens					HG02129	male		Chromosome	2026-04-13	JBVTZJ01	39
NA20346_haplotype2_hprc_rel2_verkko2_supp	GCA_056748145.1		Homo sapiens					NA20346	male		Chromosome	2026-04-16	JBVUKZ01	32
NA19087_haplotype1_hprc_rel2_verkko2_supp	GCA_056740015.1		Homo sapiens					NA19087	female		Chromosome	2026-04-15	JBVUKI01	34
HG02040_haplotype1_hprc_rel2_verkko2_supp	GCA_056751265.1		Homo sapiens					HG02040	male		Chromosome	2026-04-16	JBVUMQ01	25
HG02486_mat_hprc_rel2_verkko2_supp	GCA_056697475.1		Homo sapiens					HG02486	male		Chromosome	2026-04-13	JBVUBW01	37
HG00133_hap2_hprc_f2	GCA_042077855.2		Homo sapiens					HG00133	female		Chromosome	2024-09-20	JBHIKR01	56
HG02392_haplotype1_hprc_rel2_verkko2_supp	GCA_056697545.1		Homo sapiens					HG02392	male		Chromosome	2026-04-13	JBVUBZ01	43
HG00128_haplotype2_hprc_rel2_verkko2_supp	GCA_056669485.1		Homo sapiens					HG00128	female		Chromosome	2026-04-10	JBVTZE01	42
NA19700_haplotype1_hprc_rel2_verkko2_supp	GCA_056740125.1		Homo sapiens					NA19700	male		Chromosome	2026-04-15	JBVUKO01	36
NA19776_haplotype2_hprc_rel2_verkko2_supp	GCA_056740095.1		Homo sapiens					NA19776	female		Chromosome	2026-04-15	JBVUKN01	29
HG02717_pat_hprc_rel2_verkko2_supp	GCA_056750725.1		Homo sapiens					HG02717	male		Chromosome	2026-04-16	JBVUNC01	36
HG02004_haplotype1_hprc_rel2_verkko2_supp	GCA_056697655.1		Homo sapiens					HG02004	female		Chromosome	2026-04-13	JBVUCQ01	48
HG02647_mat_hprc_rel2_verkko2_supp	GCA_056716575.1		Homo sapiens					HG02647	male		Chromosome	2026-04-14	JBVUFD01	85
NA19682_haplotype1_hprc_rel2_verkko2_supp	GCA_056740175.1		Homo sapiens					NA19682	male		Chromosome	2026-04-15	JBVUKQ01	29
HG02976_haplotype2_hprc_rel2_verkko2_supp	GCA_056717205.1		Homo sapiens					HG02976	female		Chromosome	2026-04-14	JBVUGB01	43
HG02109_haplotype2_hprc_rel2_verkko2_supp	GCA_056696005.1		Homo sapiens					HG02109	female		Chromosome	2026-04-13	JBVTZM01	42
HG02055_pat_hprc_rel2_verkko2_supp	GCA_056751255.1		Homo sapiens					HG02055	female		Chromosome	2026-04-16	JBVUMO01	59
HG02809_haplotype1_hprc_rel2_verkko2_supp	GCA_056716755.1		Homo sapiens					HG02809	female		Chromosome	2026-04-14	JBVUFM01	35
HG01074_haplotype2_hprc_rel2_verkko2_supp	GCA_056667915.1		Homo sapiens					HG01074	male		Chromosome	2026-04-10	JBVTWK01	35
NA21102_haplotype1_hprc_rel2_verkko2_supp	GCA_056748685.1		Homo sapiens					NA21102	female		Chromosome	2026-04-16	JBVULG01	24
HG01074_haplotype1_hprc_rel2_verkko2_supp	GCA_056667935.1		Homo sapiens					HG01074	male		Chromosome	2026-04-10	JBVTWJ01	59
HG01978_haplotype1_hprc_rel2_verkko2_supp	GCA_056697775.1		Homo sapiens					HG01978	female		Chromosome	2026-04-13	JBVUCW01	72
NA18522_haplotype2_hprc_rel2_verkko2_supp	GCA_056739295.1		Homo sapiens					NA18522	male		Chromosome	2026-04-15	JBVUJB01	34
HG02559_mat_hprc_f2	GCA_018466985.3		Homo sapiens					HG02559	female		Chromosome	2024-09-20	JAGYVJ02	69
HG00232_haplotype1_hprc_rel2_verkko2_supp	GCA_056669255.1		Homo sapiens					HG00232	female		Chromosome	2026-04-10	JBVTYT01	31
HG00128_haplotype1_hprc_rel2_verkko2_supp	GCA_056669445.1		Homo sapiens					HG00128	female		Chromosome	2026-04-10	JBVTZD01	29
HG02723_haplotype1_hprc_rel2_verkko2_supp	GCA_056716825.1		Homo sapiens					HG02723	female		Chromosome	2026-04-14	JBVUFQ01	37
NA20806_hap2_hprc_f2	GCA_046629225.2		Homo sapiens					NA20806	male		Chromosome	2025-01-14	JBKOQV01	34
NA19700_haplotype2_hprc_rel2_verkko2_supp	GCA_056740135.1		Homo sapiens					NA19700	male		Chromosome	2026-04-15	JBVUKP01	37
NA21102_hap1_hprc_f2	GCA_044166315.1		Homo sapiens					NA21102	female		Chromosome	2024-10-31	JBIREH01	78
HG02554_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056595.1		Homo sapiens					HG02554	male		Chromosome	2026-04-29	JBWQGV01	54
HG03784_haplotype1_hprc_rel2_verkko2_supp	GCA_056717475.1		Homo sapiens					HG03784	female		Chromosome	2026-04-14	JBVUGW01	48
NA18508_hap2_hprc_f2	GCA_042077155.2		Homo sapiens					NA18508	female		Chromosome	2024-09-20	JBHIJH01	56
HG00621_mat_hprc_f2	GCA_018472605.3		Homo sapiens					HG00621	male		Chromosome	2024-09-20	JAHBCC02	55
HG03831_haplotype1_hprc_rel2_verkko2_supp	GCA_056738575.1		Homo sapiens					HG03831	female		Chromosome	2026-04-15	JBVUHW01	61
HG03521_haplotype2_hprc_rel2_verkko2_supp	GCA_056717345.1		Homo sapiens					HG03521	male		Chromosome	2026-04-14	JBVUGR01	38
HG03009_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057056465.1		Homo sapiens					HG03009	male		Chromosome	2026-04-29	JBWQGQ01	37
HG02056_pat_hprc_rel2_verkko2_supp	GCA_056751125.1		Homo sapiens					HG02056	male		Chromosome	2026-04-16	JBVUMM01	66
HG03710_haplotype2_hprc_rel2_verkko2_supp	GCA_056717555.1		Homo sapiens					HG03710	male		Chromosome	2026-04-14	JBVUHB01	41
HG02717_mat_hprc_rel2_verkko2_supp	GCA_057062045.1		Homo sapiens					HG02717	male		Chromosome	2026-04-16	JBVUND01	43
NA18522_haplotype1_hprc_rel2_verkko2_supp	GCA_056739265.1		Homo sapiens					NA18522	male		Chromosome	2026-04-15	JBVUJA01	142
HG04184_haplotype2_hprc_rel2_verkko2_supp	GCA_056739125.1		Homo sapiens					HG04184	female		Chromosome	2026-04-15	JBVUIV01	41
RPE1V1.1 Haplotype 2	GCA_050656315.1		Homo sapiens					RPE-1	female		Chromosome	2025-06-02	JBJQNL01	688
HG02258_haplotype1_hprc_rel2_verkko2_supp	GCA_056697325.1		Homo sapiens					HG02258	male		Chromosome	2026-04-13	JBVUBP01	35
ASM4633219v1	GCA_046332195.1		Homo sapiens					NA18967	male		Chromosome	2024-12-27	JBKABW01	69
HG03834_haplotype1_hprc_rel2_verkko2_supp	GCA_056738595.1		Homo sapiens					HG03834	female		Chromosome	2026-04-15	JBVUHU01	49
NA19338_haplotype2_hprc_rel2_verkko2_supp	GCA_056739865.1		Homo sapiens					NA19338	female		Chromosome	2026-04-15	JBVUKD01	53
NA19317_hap2	GCA_056689515.1		Homo sapiens					NA19317	male		Chromosome	2026-04-13	DBNCOW01	33
HG03050_pat_hprc_rel2_verkko2_supp	GCA_056716875.1		Homo sapiens					HG03050	male		Chromosome	2026-04-14	JBVUFS01	66
HG03139_haplotype1_hprc_rel2_verkko2_supp	GCA_056717175.1		Homo sapiens					HG03139	male		Chromosome	2026-04-14	JBVUGI01	32
NA19909_haplotype2_hprc_rel2_verkko2_supp	GCA_056748605.1		Homo sapiens					NA19909	female		Chromosome	2026-04-16	JBVULD01	32
HG00544_mat_hprc_f2	GCA_042076565.2		Homo sapiens					HG00544	female		Chromosome	2024-09-20	JBHIIN01	61
HG03225_haplotype1_hprc_rel2_verkko2_supp	GCA_056717095.1		Homo sapiens					HG03225	male		Chromosome	2026-04-14	JBVUGE01	36
HG03654_haplotype1_hprc_rel2_verkko2_supp	GCA_056717615.1		Homo sapiens					HG03654	male		Chromosome	2026-04-14	JBVUHE01	53
HG01960_haplotype2_hprc_rel2_verkko2_supp	GCA_056697865.1		Homo sapiens					HG01960	female		Chromosome	2026-04-13	JBVUDD01	76
NA19347_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057056045.1		Homo sapiens					NA19347	male		Chromosome	2026-04-29	JBWQFU01	50
HG02055_mat_hprc_rel2_verkko2_supp	GCA_056751115.1		Homo sapiens					HG02055	female		Chromosome	2026-04-16	JBVUMP01	80
HG03041_haplotype1_hprc_rel2_verkko2_supp	GCA_056716895.1		Homo sapiens					HG03041	female		Chromosome	2026-04-14	JBVUFU01	28
NA19087_hap1_hprc_f2	GCA_042034335.1		Homo sapiens					NA19087	female		Chromosome	2024-09-20	JBHDXP01	93
HG02922_haplotype1_hprc_rel2_verkko2_supp	GCA_056716695.1		Homo sapiens					HG02922	female		Chromosome	2026-04-14	JBVUFI01	44
ASM4633247v1	GCA_046332475.1		Homo sapiens					NA18943	male		Chromosome	2024-12-27	JBKACJ01	39
HG02165_haplotype1_hprc_rel2_verkko2_supp	GCA_056696475.1		Homo sapiens					HG02165	female		Chromosome	2026-04-13	JBVUAT01	39
HG02280_haplotype1_hprc_rel2_verkko2_supp	GCA_056697055.1		Homo sapiens					HG02280	female		Chromosome	2026-04-13	JBVUBL01	133
HG03065_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057056415.1		Homo sapiens					HG03065	male		Chromosome	2026-04-29	JBWQGO01	44
HG02735_haplotype2_hprc_rel2_verkko2_supp	GCA_056749955.1		Homo sapiens					HG02735	male		Chromosome	2026-04-16	JBVUMB01	110
NA19185_haplotype2_hprc_rel2_verkko2_supp	GCA_056739925.1		Homo sapiens					NA19185	female		Chromosome	2026-04-15	JBVUKF01	60
NA19185_haplotype1_hprc_rel2_verkko2_supp	GCA_056739915.1		Homo sapiens					NA19185	female		Chromosome	2026-04-15	JBVUKE01	39
HG04199_mat_hprc_f2	GCA_042029385.2		Homo sapiens					HG04199	male		Chromosome	2024-09-19	JBHDTI01	82
NA19338_haplotype1_hprc_rel2_verkko2_supp	GCA_056739895.1		Homo sapiens					NA19338	female		Chromosome	2026-04-15	JBVUKC01	42
NA20805_hap2_hprc_f2	GCA_043304515.2		Homo sapiens					NA20805	male		Chromosome	2024-10-17	JBIECA01	88
HG00544_pat_hprc_f2	GCA_042076675.1		Homo sapiens					HG00544	female		Chromosome	2024-09-20	JBHIIM01	61
HG00609_pat_hprc_f2	GCA_042027545.1		Homo sapiens					HG00609	male		Chromosome	2024-09-19	JBHDRX01	94
HG03065_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056445.1		Homo sapiens					HG03065	male		Chromosome	2026-04-29	JBWQGN01	94
HG03050_mat_hprc_rel2_verkko2_supp	GCA_056716835.1		Homo sapiens					HG03050	male		Chromosome	2026-04-14	JBVUFT01	84
HG03683_hap2	GCA_056690095.1		Homo sapiens					HG03683	female		Chromosome	2026-04-13	DBNCPW01	92
NA20805_hap1_hprc_f2	GCA_043304975.1		Homo sapiens					NA20805	male		Chromosome	2024-10-17	JBIEBZ01	89
NA18565_haplotype1_hprc_rel2_verkko2_supp	GCA_056739225.1		Homo sapiens					NA18565	female		Chromosome	2026-04-15	JBVUIY01	35
ASM4633213v1	GCA_046332135.1		Homo sapiens					NA18970	male		Chromosome	2024-12-27	JBKABU01	48
HG03371_mat_hprc-hgsvc_rel2_verkko2_supp	GCA_057056345.1		Homo sapiens					HG03371	male		Chromosome	2026-04-29	JBWQGK01	38
HG01993_haplotype2_hprc_rel2_verkko2_supp	GCA_056697675.1		Homo sapiens					HG01993	female		Chromosome	2026-04-13	JBVUCT01	42
HG02011_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056685.1		Homo sapiens					HG02011	male		Chromosome	2026-04-29	JBWQGZ01	27
HG01167_haplotype2_hprc_rel2_verkko2_supp	GCA_056667625.1		Homo sapiens					HG01167	male		Chromosome	2026-04-10	JBVTVW01	40
HG03784_haplotype2_hprc_rel2_verkko2_supp	GCA_056717485.1		Homo sapiens					HG03784	female		Chromosome	2026-04-14	JBVUGX01	27
NA21093_haplotype2_hprc_rel2_verkko2_supp	GCA_056695555.1		Homo sapiens					NA21093	male		Chromosome	2026-04-13	JBVTVK01	101
HG02165_haplotype2_hprc_rel2_verkko2_supp	GCA_056696485.1		Homo sapiens					HG02165	female		Chromosome	2026-04-13	JBVUAU01	32
HG01505_mat_hprc-hgsvc_rel2_verkko2_supp	GCA_057056805.1		Homo sapiens					HG01505	male		Chromosome	2026-04-29	JBWQHG01	46
HG01928_mat_hprc_rel2_verkko2_supp	GCA_056698095.1		Homo sapiens					HG01928	male		Chromosome	2026-04-13	JBVUDN01	55
HG00731_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056885.1		Homo sapiens					HG00731	male		Chromosome	2026-04-29	JBWQHJ01	27
HG01358_mat_hprc_rel2_verkko2_supp	GCA_056699375.1		Homo sapiens					HG01358	male		Chromosome	2026-04-13	JBVUEF01	83
HG01071_haplotype1_hprc_rel2_verkko2_supp	GCA_056667985.1		Homo sapiens					HG01071	female		Chromosome	2026-04-10	JBVTWL01	93
HG00126_hap1_hprc_f2	GCA_042078065.1		Homo sapiens					HG00126	male		Chromosome	2024-09-20	JBHIKU01	74
HG00126_haplotype1_hprc_rel2_verkko2_supp	GCA_056669525.1		Homo sapiens					HG00126	male		Chromosome	2026-04-10	JBVTZF01	26
HG00558_haplotype1_hprc_rel2_verkko2_supp	GCA_056668535.1		Homo sapiens					HG00558	female		Chromosome	2026-04-10	JBVTXL01	149
HG03209_haplotype2_hprc_rel2_verkko2_supp	GCA_056749765.1		Homo sapiens					HG03209	male		Chromosome	2026-04-16	JBVULV01	75
NA18608_haplotype2_hprc_rel2_verkko2_supp	GCA_056739205.1		Homo sapiens					NA18608	male		Chromosome	2026-04-15	JBVUIX01	28
HG02922_haplotype2_hprc_rel2_verkko2_supp	GCA_056717675.1		Homo sapiens					HG02922	female		Chromosome	2026-04-14	JBVUFJ01	52
HG00438_haplotype1_hprc_rel2_verkko2_supp	GCA_056668655.1		Homo sapiens					HG00438	female		Chromosome	2026-04-10	JBVTXR01	94
NA19043_haplotype1_hprc_rel2_verkko2_supp	GCA_056739575.1		Homo sapiens					NA19043	male		Chromosome	2026-04-15	JBVUJQ01	77
HG00733_haplotype1_hprc_rel2_verkko2_supp	GCA_056668155.1		Homo sapiens					HG00733	female		Chromosome	2026-04-10	JBVTWT01	29
HG02514_haplotype1_hprc_rel2_verkko2_supp	GCA_056697375.1		Homo sapiens					HG02514	male		Chromosome	2026-04-13	JBVUBT01	36
HG03009_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056485.1		Homo sapiens					HG03009	male		Chromosome	2026-04-29	JBWQGP01	35
NA18974_haplotype1_hprc_rel2_verkko2_supp	GCA_056739795.1		Homo sapiens					NA18974	male		Chromosome	2026-04-15	JBVUJY01	56
NA21102_haplotype2_hprc_rel2_verkko2_supp	GCA_056748705.1		Homo sapiens					NA21102	female		Chromosome	2026-04-16	JBVULH01	51
HG00621_pat_hprc_f2	GCA_018472575.2		Homo sapiens					HG00621	male		Chromosome	2024-09-20	JAHBCD02	73
HG00597_pat_hprc_rel2	GCA_041900365.1		Homo sapiens					HG00597	female		Chromosome	2024-09-11	JBHDUU01	81
HG01361_haplotype2_hprc_rel2_verkko2_supp	GCA_056698965.1		Homo sapiens					HG01361	female		Chromosome	2026-04-13	JBVUED01	47
HG03017_haplotype1_hprc_rel2_verkko2_supp	GCA_056716965.1		Homo sapiens					HG03017	male		Chromosome	2026-04-14	JBVUFW01	40
ASM4633248v1	GCA_046332485.1		Homo sapiens					NA18943	male		Chromosome	2024-12-27	JBKACI01	51
HG01255_pat_hprc_f2	GCA_042029915.1		Homo sapiens					HG01255	male		Chromosome	2024-09-19	JBHDTB01	92
HG01255_haplotype2_hprc_rel2_verkko2_supp	GCA_056700505.1		Homo sapiens					HG01255	male		Chromosome	2026-04-13	JBVUEN01	77
HG03456_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056305.1		Homo sapiens					HG03456	male		Chromosome	2026-04-29	JBWQGH01	34
HG03456_hap1	GCA_056690215.1		Homo sapiens					HG03456	female		Chromosome	2026-04-13	DBNCPZ01	587
HG00706_mat_hprc_f2	GCA_046116005.2		Homo sapiens					HG00706	male		Chromosome	2024-12-16	JBJXWE01	82
HG00597_haplotype1_hprc_rel2_verkko2_supp	GCA_056668475.1		Homo sapiens					HG00597	female		Chromosome	2026-04-10	JBVTXJ01	38
ASM4633243v1	GCA_046332435.1		Homo sapiens					NA18944	male		Chromosome	2024-12-27	JBKACG01	54
HG00146_hap1_hprc_f2	GCA_042077995.1		Homo sapiens					HG00146	female		Chromosome	2024-09-20	JBHIKO01	97
HG02583_haplotype2_hprc_rel2_verkko2_supp	GCA_056716375.1		Homo sapiens					HG02583	female		Chromosome	2026-04-14	JBVUET01	42
NA19331_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056065.1		Homo sapiens					NA19331	male		Chromosome	2026-04-29	JBWQFV01	49
HG00597_mat_hprc_rel2	GCA_041900265.2		Homo sapiens					HG00597	female		Chromosome	2024-09-11	JBHDUV01	90
NA21093_haplotype1_hprc_rel2_verkko2_supp	GCA_056695505.1		Homo sapiens					NA21093	male		Chromosome	2026-04-13	JBVTVJ01	46
HG00140_hap2_hprc_f2	GCA_042030705.2		Homo sapiens					HG00140	male		Chromosome	2024-09-19	JBHDVZ01	60
HG02717_mat_hprc_f2	GCA_018469935.3		Homo sapiens					HG02717	male		Chromosome	2024-09-20	JAHAOR02	75
HG02011_haplotype2_hprc-hgsvc_rel2_verkko2_supp	GCA_057056645.1		Homo sapiens					HG02011	male		Chromosome	2026-04-29	JBWQHA01	31
HG02155_haplotype2_hprc_rel2_verkko2_supp	GCA_056696655.1		Homo sapiens					HG02155	female		Chromosome	2026-04-13	JBVUAW01	37
HG03579_haplotype1_hprc_rel2_verkko2_supp	GCA_056717315.1		Homo sapiens					HG03579	male		Chromosome	2026-04-14	JBVUGO01	28
HG02083_mat_hprc_rel2_verkko2_supp	GCA_056696045.1		Homo sapiens					HG02083	male		Chromosome	2026-04-13	JBVTZO01	138
HG03521_hap2_hprc_f2	GCA_044166645.2		Homo sapiens					HG03521	male		Chromosome	2024-10-31	JBIREG01	89
HG02976_haplotype1_hprc_rel2_verkko2_supp	GCA_056717025.1		Homo sapiens					HG02976	female		Chromosome	2026-04-14	JBVUGA01	45
NA18534_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057056245.1		Homo sapiens					NA18534	male		Chromosome	2026-04-29	JBWQGD01	109
HG01252_pat_hprc_f2	GCA_042038865.1		Homo sapiens					HG01252	male		Chromosome	2024-09-20	JBHIHY01	68
HG00096_haplotype1_hprc-hgsvc_rel2_verkko2_supp	GCA_057057025.1		Homo sapiens					HG00096	male		Chromosome	2026-04-29	JBWQHP01	62
ASM4633230v1	GCA_046332305.1		Homo sapiens					NA18948	male		Chromosome	2024-12-27	JBKACD01	61
HG02027_mat_hprc_rel2_verkko2_supp	GCA_056751455.1		Homo sapiens					HG02027	male		Chromosome	2026-04-16	JBVUMT01	79
NA19835_haplotype2_hprc_rel2_verkko2_supp	GCA_056740045.1		Homo sapiens					NA19835	female		Chromosome	2026-04-15	JBVUKL01	93
HG03804_haplotype2_hprc_rel2_verkko2_supp	GCA_056738665.1		Homo sapiens					HG03804	female		Chromosome	2026-04-15	JBVUIB01	99
HG00350_haplotype2_hprc_rel2_verkko2_supp	GCA_056668755.1		Homo sapiens					HG00350	female		Chromosome	2026-04-10	JBVTXY01	45
HG03583_haplotype2_hprc_rel2_verkko2_supp	GCA_056717295.1		Homo sapiens					HG03583	female		Chromosome	2026-04-14	JBVUGN01	71
NA19087_haplotype2_hprc_rel2_verkko2_supp	GCA_056739985.1		Homo sapiens					NA19087	female		Chromosome	2026-04-15	JBVUKJ01	63
